Index;Start Time;End Time;Query Granularity;Subnetwork;Subnetwork Name;ManagedElement;ManagedElement Name;Cell;Cell Name;eNodeB;eNodeB Name;Product;LTE PS Traffic;[FDD]Mean RRC-Connected User Number;Average DL Active E-RAB Number;Average UL Active E-RAB Number;[LTE]PDSCH PRB Utilization Rate;[FDD]PUSCH PRB Utilization Rate;LTE DL User throughput;LTE UL User throughput;[LTE]Average CQI;%CQI<7;%RI2_TM4;LTE RTWP;Maximum Cell Transmit Power(W);~TA Average m;[LTE] RSRP_average;[LTE] %RSRP<-116;SINR_PUSCH_Average;SINR_PUSCH<=-2;[LTE] RSRQ_Average;[LTE] %RSRQ<=-12;[FDD]Cell Downlink BLER;[FDD]Cell Uplink BLER;LTE CSSR;LTE RRC SR;LTE E-RAB SR;LTE S1SIG SR;LTE Call Drop;LTE CSFB SR;LTE Inter-Fre HOSR;LTE Intra-Fre HOSR
9627;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3012;RNC2012(3012);2614;PUN0026_SECTOR 03;3;PUN0026B4G03;330026;PUN0026B4G;LTE FDD;60705.0591;20.6334;6.1963;6.1918;43.57%;13.21%;4323.4804;2679.3781;9.2892;15.12%;33.467;-111.19;33.036;524.6463;-98.0121;4.6779;10.4833;4.5204;-18.1531;99.61%;14.58%;9.01%;99.75%;99.86%;99.8885;100.00%;29;100.00%;99.74%;99.50%
11899;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3012;RNC2012(3012);2614;PUN0026_SECTOR 03;3;PUN0026B4G03;330026;PUN0026B4G;LTE FDD;59002.4877;20.559;6.5319;6.4479;42.50%;14.40%;4278.7822;2514.5137;9.4316;14.58%;32.9188;-110.4351;33.884;551.7853;-98.4207;6.9025;10.0039;3.9933;-18.1882;99.40%;14.66%;9.03%;99.81%;99.97%;99.8454;100.00%;17;100.00%;99.30%;99.43%
14176;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3012;RNC2012(3012);2614;PUN0026_SECTOR 03;3;PUN0026B4G03;330026;PUN0026B4G;LTE FDD;67041.9838;21.3583;6.4705;6.4188;48.07%;14.05%;3722.6829;2346.6481;9.3667;14.14%;33.852;-110.485;33.573;592.3868;-98.2331;7.2335;9.9144;4.3595;-18.2086;99.72%;14.67%;9.00%;99.48%;99.82%;99.6641;99.99%;37;100.00%;99.19%;99.23%
549;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 01;1;PUN0027B4E01;330027;PUN0027B4E;LTE FDD;28305.2687;7.3477;2.3389;2.2954;25.93%;3.56%;5045.7107;2790.7167;8.5085;24.77%;22.2598;-110.0583;33.113;364.3527;-91.6112;9.0554;14.5593;2.295;-17.7002;99.22%;15.15%;7.91%;99.86%;99.92%;99.9433;100.00%;3;100.00%;98.59%;97.69%
2817;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 01;1;PUN0027B4E01;330027;PUN0027B4E;LTE FDD;26712.9896;7.4042;2.1674;2.1716;22.22%;3.50%;5929.7294;2778.7575;8.9565;21.00%;26.1147;-110.7999;33.728;366.7221;-89.8065;12.6486;14.8235;2.4856;-17.1514;99.35%;15.13%;7.66%;99.81%;99.87%;99.9408;100.00%;2;100.00%;98.80%;97.13%
5090;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 01;1;PUN0027B4E01;330027;PUN0027B4E;LTE FDD;30509.1953;8.612;2.8196;2.7482;26.43%;3.74%;4984.6981;2495.1864;8.6707;23.58%;25.7469;-110.1033;33.884;345.4465;-95.1288;9.7847;15.006;1.9864;-17.407;99.15%;15.34%;7.28%;99.92%;99.94%;99.9781;100.00%;6;100.00%;98.01%;98.01%
7363;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 01;1;PUN0027B4E01;330027;PUN0027B4E;LTE FDD;31925.3359;8.5292;2.8529;2.7779;29.65%;4.17%;4517.2995;2778.3499;8.6679;25.48%;23.9539;-109.4349;33.962;344.1825;-96.5634;15.7522;14.9388;1.8902;-17.5558;99.41%;15.05%;7.79%;99.82%;99.90%;99.9218;100.00%;2;100.00%;97.23%;98.29%
9635;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 01;1;PUN0027B4E01;330027;PUN0027B4E;LTE FDD;35101.1097;9.3236;3.2612;3.2143;29.27%;4.74%;4617.4849;2311.1152;8.7213;24.55%;27.5957;-110.2887;32.734;349.4565;-93.6724;9.9087;13.9692;2.8623;-17.7445;99.67%;15.02%;7.58%;99.75%;99.80%;99.9486;100.00%;6;100.00%;99.15%;98.00%
11907;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 01;1;PUN0027B4E01;330027;PUN0027B4E;LTE FDD;31871.4373;8.5726;2.8449;2.8234;27.41%;4.12%;4752.0058;2482.5264;8.763;22.06%;25.9223;-110.3156;33.651;343.2529;-91.9775;6.7295;14.6855;1.9035;-17.5464;99.33%;14.97%;8.00%;99.66%;99.72%;99.9472;100.00%;10;100.00%;98.29%;98.13%
14184;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 01;1;PUN0027B4E01;330027;PUN0027B4E;LTE FDD;37118.7751;9.1789;3.0589;3.1418;29.08%;4.71%;4920.7409;3063.5736;8.6537;24.14%;28.1579;-109.1035;32.658;336.4461;-90.0831;6.7416;15.1625;1.4705;-17.8362;99.47%;15.03%;7.57%;99.83%;99.88%;99.9474;100.00%;6;100.00%;98.88%;98.53%
550;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 02;2;PUN0027B4E02;330027;PUN0027B4E;LTE FDD;51087.5923;16.3482;4.1962;4.2643;37.03%;7.92%;5376.4038;3015.1952;9.116;14.81%;39.3184;-112.5812;34.434;338.4603;-99.505;6.5561;12.2742;5.4413;-17.6022;97.56%;15.13%;9.35%;99.91%;99.95%;99.9622;100.00%;4;100.00%;99.04%;99.92%
2818;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 02;2;PUN0027B4E02;330027;PUN0027B4E;LTE FDD;46594.0116;14.3738;4.1692;4.1758;31.72%;7.61%;6421.8974;3139.6536;9.3586;13.87%;43.4264;-112.2769;33.962;332.5665;-98.3005;6.7274;11.9741;4.4223;-17.3229;98.68%;15.06%;9.42%;99.95%;99.99%;99.9573;100.00%;1;100.00%;97.86%;99.81%
5091;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 02;2;PUN0027B4E02;330027;PUN0027B4E;LTE FDD;48759.3523;14.6748;4.2368;4.31;34.74%;8.20%;6131.745;3587.7198;8.9048;17.68%;35.6849;-111.674;34.833;353.0174;-99.9845;6.0045;12.3316;3.6202;-17.8772;99.41%;15.12%;8.91%;99.91%;99.96%;99.9468;100.00%;9;100.00%;98.83%;99.86%
7364;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 02;2;PUN0027B4E02;330027;PUN0027B4E;LTE FDD;48333.3889;13.628;4.3982;4.245;37.43%;8.18%;4887.361;3184.0147;8.9565;17.54%;34.3282;-111.4016;34.994;366.4369;-100.001;6.5891;12.0648;5.2364;-17.8365;99.20%;14.99%;8.37%;99.93%;99.99%;99.9412;100.00%;5;100.00%;98.59%;99.95%
9636;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 02;2;PUN0027B4E02;330027;PUN0027B4E;LTE FDD;50235.4866;14.2537;4.4265;4.2347;37.20%;7.31%;5029.1299;2588.4729;8.9917;16.11%;34.189;-112.6165;34.753;368.8789;-100.0126;6.3934;13.3427;2.7889;-17.8097;99.19%;14.95%;8.06%;99.92%;99.97%;99.9517;100.00%;8;100.00%;98.92%;99.89%
11908;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 02;2;PUN0027B4E02;330027;PUN0027B4E;LTE FDD;48746.6544;15.0759;4.8077;4.6677;34.21%;8.54%;5760.0959;3305.4943;9.0368;16.35%;39.4663;-112.3213;34.119;357.9345;-99.6875;6.9014;12.9021;3.4623;-17.7577;99.53%;14.86%;8.61%;99.89%;99.96%;99.9282;100.00%;6;100.00%;98.86%;99.83%
14185;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 02;2;PUN0027B4E02;330027;PUN0027B4E;LTE FDD;53615.8106;17.0982;5.157;5.053;39.98%;10.56%;4356.5706;3321.8146;8.8367;17.36%;36.5796;-110.7306;34.434;351.467;-99.0018;6.6599;11.0083;6.5757;-17.9488;99.66%;15.03%;8.72%;99.88%;99.96%;99.9119;100.00%;8;100.00%;98.55%;99.91%
551;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 03;3;PUN0027B4E03;330027;PUN0027B4E;LTE FDD;41022.271;17.7769;3.872;3.888;37.89%;10.04%;3428.8147;3305.5516;7.8087;31.38%;23.9264;-114.6409;34.276;482.2276;-106.9505;19.7562;11.9773;3.5991;-18.2183;99.62%;15.47%;9.10%;99.76%;99.96%;99.8053;100.00%;30;100.00%;99.02%;99.48%
2819;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 03;3;PUN0027B4E03;330027;PUN0027B4E;LTE FDD;31506.8047;13.0455;2.6182;2.6306;26.15%;6.01%;5512.9875;3022.2667;8.425;23.09%;30.5082;-115.386;34.593;465.401;-107.1809;21.0205;13.4048;2.6085;-17.4983;99.29%;15.55%;8.97%;99.68%;99.91%;99.7722;99.99%;14;100.00%;98.02%;99.47%
5092;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 03;3;PUN0027B4E03;330027;PUN0027B4E;LTE FDD;39848.4188;19.5777;4.8781;4.8794;43.14%;10.54%;1874.8513;2581.7959;7.2871;39.39%;19.4067;-113.7809;34.514;512.4784;-106.1239;15.7334;10.6074;4.4482;-18.6087;99.86%;15.39%;8.68%;99.77%;99.94%;99.8434;99.99%;20;99.93%;99.41%;99.36%
7365;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 03;3;PUN0027B4E03;330027;PUN0027B4E;LTE FDD;39382.0358;18.9152;4.6304;4.5942;42.09%;10.66%;1940.3471;3170.401;7.2396;40.61%;20.1277;-113.9673;34.355;504.718;-105.5931;14.8684;10.927;4.4901;-18.588;99.66%;15.30%;8.30%;99.81%;99.94%;99.8766;100.00%;17;100.00%;99.28%;99.49%
9637;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 03;3;PUN0027B4E03;330027;PUN0027B4E;LTE FDD;39605.3785;19.6713;4.8306;4.6908;42.13%;10.32%;1876.2408;2954.5851;7.3727;38.27%;18.9458;-113.9823;34.673;504.7516;-105.7168;14.8161;10.9488;3.7942;-18.6208;99.93%;15.27%;8.37%;99.82%;99.92%;99.9064;99.99%;17;100.00%;99.45%;99.39%
11909;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 03;3;PUN0027B4E03;330027;PUN0027B4E;LTE FDD;37960.1412;18.9178;4.5216;4.4669;40.39%;9.88%;2229.7382;2828.3334;7.4903;36.93%;19.5681;-114.0416;34.833;502.6966;-105.9736;16.0929;10.9061;4.483;-18.5825;99.91%;15.36%;8.15%;99.81%;99.94%;99.8813;100.00%;29;100.00%;99.18%;99.49%
14186;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3012;RNC2012(3012);2615;PUN0027_SECTOR 03;3;PUN0027B4E03;330027;PUN0027B4E;LTE FDD;41129.5853;21.034;4.9497;5.0829;43.73%;11.34%;1961.4679;2521.5854;7.3887;37.24%;17.9758;-113.6447;34.753;503.7238;-106.0967;17.1526;10.7334;4.5891;-18.5913;99.96%;15.25%;8.25%;99.79%;99.93%;99.8565;100.00%;18;99.93%;99.38%;99.45%
560;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 01;1;PUN0028B4G01;330028;PUN0028B4G;LTE FDD;20257.3506;6.214;2.2002;2.1899;30.15%;4.41%;2241.9486;2003.4822;6.5445;51.41%;9.3447;-111.2883;35.977;518.1724;-107.2336;16.077;11.3549;2.7675;-18.3594;99.75%;16.69%;9.93%;99.49%;99.77%;99.7369;99.98%;19;100.00%;98.98%;99.08%
2828;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 01;1;PUN0028B4G01;330028;PUN0028B4G;LTE FDD;14656.5369;4.2397;1.456;1.4039;24.47%;4.46%;3238.4653;2192.1942;6.4041;53.49%;6.5774;-111.7858;35.647;531.2393;-107.7083;18.0188;9.7812;1.8472;-18.0257;99.59%;17.14%;9.60%;99.48%;99.91%;99.5698;100.00%;6;100.00%;98.20%;99.37%
5101;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 01;1;PUN0028B4G01;330028;PUN0028B4G;LTE FDD;21448.0729;8.9412;3.0003;2.929;38.27%;7.43%;1500.6847;2052.5713;6.034;59.76%;6.5128;-110.5898;35.853;521.2947;-107.3051;13.2424;9.0419;3.5867;-18.5955;99.80%;16.68%;9.79%;99.24%;99.76%;99.5036;99.98%;27;100.00%;99.20%;99.29%
7374;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 01;1;PUN0028B4G01;330028;PUN0028B4G;LTE FDD;23305.7274;9.4717;3.1597;3.132;37.48%;9.10%;1664.2526;2145.0388;6.2873;55.95%;6.8489;-110.077;36.06;521.1932;-106.5929;10.8119;8.5088;3.8498;-18.6315;99.90%;16.81%;9.78%;98.94%;99.70%;99.2473;99.99%;34;100.00%;98.62%;99.23%
9646;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 01;1;PUN0028B4G01;330028;PUN0028B4G;LTE FDD;24175.6981;9.6844;3.5074;3.4388;39.53%;9.14%;1396.7401;2472.4641;6.1366;58.63%;6.3621;-110.3686;35.77;522.6235;-106.7317;10.6354;8.6901;3.9145;-18.6433;99.96%;16.35%;9.72%;98.79%;99.72%;99.0789;99.98%;38;100.00%;98.37%;99.25%
11918;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 01;1;PUN0028B4G01;330028;PUN0028B4G;LTE FDD;19918.9756;8.4743;2.8548;2.807;35.47%;10.16%;1625.7216;2464.8243;6.1591;58.45%;6.2984;-110.3171;35.853;520.705;-106.8271;11.3914;8.7541;3.0696;-18.6353;99.97%;16.77%;10.08%;98.82%;99.70%;99.1563;99.96%;32;100.00%;98.79%;99.25%
14195;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 01;1;PUN0028B4G01;330028;PUN0028B4G;LTE FDD;21933.464;8.3804;2.8544;2.8925;36.62%;8.52%;1813.3208;2019.0339;6.0538;59.18%;6.437;-109.9106;35.894;525.047;-106.946;12.1681;8.6784;4.1586;-18.628;99.78%;16.68%;9.75%;98.64%;99.69%;98.9486;100.00%;32;100.00%;98.50%;99.11%
561;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 02;2;PUN0028B4G02;330028;PUN0028B4G;LTE FDD;47110.1257;15.6144;5.2453;5.0124;45.59%;9.59%;1919.8391;2748.8882;8.0355;28.82%;16.0235;-111.5904;34.355;957.9531;-104.9596;10.2353;10.2795;3.4777;-18.4432;99.35%;14.90%;9.46%;99.88%;99.93%;99.9506;100.00%;6;100.00%;99.78%;99.47%
2829;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 02;2;PUN0028B4G02;330028;PUN0028B4G;LTE FDD;56005.5401;16.6318;5.5757;5.2747;48.98%;10.20%;2965.6292;2794.1731;8.4024;24.82%;15.5421;-111.9094;33.962;1008.5071;-104.0916;7.893;11.0775;4.4368;-18.3719;99.50%;14.98%;9.08%;99.88%;99.95%;99.9259;100.00%;9;100.00%;99.30%;99.36%
5102;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 02;2;PUN0028B4G02;330028;PUN0028B4G;LTE FDD;48623.6233;16.0748;5.4932;5.2159;45.62%;9.64%;2096.1962;2549.8391;8.0915;28.64%;16.1942;-111.3251;34.355;972.8899;-104.8515;7.6986;10.2577;4.1852;-18.3905;99.54%;14.88%;9.62%;99.89%;99.96%;99.9224;100.00%;8;100.00%;99.14%;99.55%
7375;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 02;2;PUN0028B4G02;330028;PUN0028B4G;LTE FDD;47391.1116;16.262;5.3834;5.093;44.18%;9.40%;2037.4521;2501.5952;8.0464;29.19%;16.6377;-111.3358;34.514;966.6422;-104.6365;7.8618;10.7323;3.9652;-18.3697;99.52%;14.89%;9.24%;99.89%;99.97%;99.9145;100.00%;13;100.00%;98.65%;99.64%
9647;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 02;2;PUN0028B4G02;330028;PUN0028B4G;LTE FDD;49179.6576;15.7916;4.9778;4.6846;44.92%;9.46%;2654.3436;2292.0037;7.993;28.89%;15.6353;-111.2704;34.593;1011.4164;-104.9334;7.7919;10.3366;3.4553;-18.2934;99.55%;14.94%;9.87%;99.86%;99.96%;99.9037;100.00%;8;100.00%;99.07%;99.47%
11919;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 02;2;PUN0028B4G02;330028;PUN0028B4G;LTE FDD;44985.6107;15.8962;5.0003;4.821;42.22%;9.20%;2295.7701;2386.5724;8.11;28.64%;15.755;-111.3403;34.197;999.704;-104.4908;7.2254;10.753;3.9042;-18.3447;99.54%;14.87%;9.23%;99.96%;100.00%;99.9608;100.00%;8;100.00%;99.34%;99.48%
14196;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 02;2;PUN0028B4G02;330028;PUN0028B4G;LTE FDD;48783.2919;15.281;4.1589;4.1339;44.37%;9.37%;2745.2712;2532.6993;8.1001;29.18%;15.2672;-110.7144;33.884;986.9609;-104.5006;8.3017;10.0839;3.9696;-18.4905;99.84%;14.86%;9.85%;99.95%;99.99%;99.9634;100.00%;6;100.00%;99.34%;99.49%
562;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 03;3;PUN0028B4G03;330028;PUN0028B4G;LTE FDD;67370.7377;28.9747;9.2474;8.9649;47.79%;16.70%;1364.0385;3091.3519;9.3018;19.12%;23.6619;-112.4094;34.914;625.5647;-104.3376;11.3853;8.9439;8.0074;-18.5308;99.86%;14.92%;8.34%;99.72%;99.88%;99.8423;99.99%;31;100.00%;99.21%;98.61%
2830;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 03;3;PUN0028B4G03;330028;PUN0028B4G;LTE FDD;52366.1383;20.926;5.4244;5.6342;46.68%;12.80%;3113.0912;2664.2988;9.5181;18.87%;20.2402;-112.4513;34.514;655.296;-104.9319;9.7092;8.106;9.9775;-18.544;99.88%;15.30%;8.79%;99.74%;99.95%;99.79;100.00%;35;99.85%;99.12%;98.73%
5103;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 03;3;PUN0028B4G03;330028;PUN0028B4G;LTE FDD;52951.7337;24.5216;6.7165;6.856;51.60%;14.68%;1648.5786;2291.5199;8.8639;25.02%;14.8621;-111.8827;34.833;700.3846;-104.5416;9.8323;7.6663;10.4467;-18.6804;99.88%;15.19%;8.61%;99.73%;99.91%;99.8236;100.00%;49;100.00%;98.81%;98.38%
7376;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 03;3;PUN0028B4G03;330028;PUN0028B4G;LTE FDD;61094.238;24.3037;6.9055;6.8282;51.12%;14.60%;1878.9914;2596.1184;8.9607;23.39%;17.032;-111.9635;34.994;649.2888;-103.8078;7.9567;8.2901;9.6107;-18.6977;99.90%;15.12%;8.56%;99.60%;99.86%;99.746;100.00%;49;100.00%;99.48%;98.59%
9648;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 03;3;PUN0028B4G03;330028;PUN0028B4G;LTE FDD;61849.9119;24.4609;6.8992;6.8716;50.54%;15.41%;1980.6783;2551.4475;9.0866;21.76%;16.4963;-111.9295;34.355;619.6419;-103.8176;8.1266;8.4729;8.6147;-18.6821;99.92%;14.92%;8.59%;99.66%;99.91%;99.7478;100.00%;39;100.00%;99.41%;98.78%
11920;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 03;3;PUN0028B4G03;330028;PUN0028B4G;LTE FDD;61518.7915;25.772;7.6854;7.5588;53.42%;15.83%;1860.7612;2438.0848;8.9534;23.58%;16.9618;-111.9655;35.075;692.8478;-104.124;9.2147;7.6885;11.6749;-18.6746;99.90%;15.05%;8.13%;99.33%;99.69%;99.6513;99.99%;121;99.75%;99.45%;98.28%
14197;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3012;RNC2012(3012);2616;PUN0028_SECTOR 03;3;PUN0028B4G03;330028;PUN0028B4G;LTE FDD;77981.2556;28.8246;8.6099;8.5335;54.25%;16.69%;1636.4475;3006.5675;8.993;23.48%;22.1386;-111.6794;34.914;618.8562;-103.7849;7.6971;9.1153;8.382;-18.6515;99.75%;14.78%;8.48%;99.62%;99.89%;99.7398;100.00%;75;100.00%;99.26%;98.67%
573;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 01;1;PUN0029B4G01;330029;PUN0029B4G;LTE FDD;96318.9732;51.872;21.088;20.4364;78.41%;32.81%;585.8008;2141.2307;8.2016;27.66%;25.8423;-110.0814;70.231;2153.831;-106.2171;16.1222;8.9586;4.3537;-18.6969;99.93%;14.93%;8.42%;99.35%;99.74%;99.6075;100.00%;150;99.95%;99.29%;99.16%
2841;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 01;1;PUN0029B4G01;330029;PUN0029B4G;LTE FDD;94617.6344;58.1882;23.1393;23.0194;79.85%;36.96%;511.8109;2229.357;8.1594;28.23%;23.8324;-109.7471;70.474;2039.3585;-105.8606;12.5773;8.7424;4.2646;-18.6878;99.98%;15.03%;8.35%;99.49%;99.77%;99.717;100.00%;140;100.00%;99.40%;99.03%
5114;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 01;1;PUN0029B4G01;330029;PUN0029B4G;LTE FDD;89120.0027;49.0453;18.6885;18.0984;74.80%;30.35%;665.6128;2080.6933;8.2664;26.28%;25.1785;-110.5128;70.153;2082.6401;-105.8872;13.5436;8.5278;4.0413;-18.5044;99.90%;14.97%;8.35%;99.51%;99.80%;99.7154;100.00%;106;99.91%;99.40%;99.37%
7387;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 01;1;PUN0029B4G01;330029;PUN0029B4G;LTE FDD;85795.1414;47.5492;17.8637;17.1938;73.74%;29.72%;628.5253;2266.0163;8.3106;26.33%;22.4016;-110.5215;70.312;2037.6644;-106.4835;14.7208;9.1123;3.1451;-18.5325;99.86%;14.95%;8.48%;99.66%;99.85%;99.8136;99.99%;70;100.00%;99.35%;99.15%
9659;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 01;1;PUN0029B4G01;330029;PUN0029B4G;LTE FDD;86853.7275;49.8044;19.332;18.9053;74.98%;29.80%;621.0837;2053.4927;8.3625;25.79%;23.353;-110.3532;70.474;1986.2177;-106.1929;13.1416;8.8275;3.6413;-18.4188;99.78%;14.89%;8.16%;99.64%;99.88%;99.7608;100.00%;76;99.95%;99.42%;99.32%
11931;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 01;1;PUN0029B4G01;330029;PUN0029B4G;LTE FDD;79634.3124;47.2721;18.3812;17.9479;72.95%;28.38%;594.9039;2006.7274;8.2326;27.39%;22.0583;-110.5288;70.231;2068.368;-106.3968;13.3872;8.9772;3.3187;-18.5082;99.78%;14.87%;8.33%;99.58%;99.87%;99.7132;100.00%;60;99.91%;99.33%;99.29%
14208;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 01;1;PUN0029B4G01;330029;PUN0029B4G;LTE FDD;82746.5024;49.2727;18.3279;18.1598;73.40%;29.61%;586.8183;2047.7673;8.1739;27.59%;23.0348;-110.3434;70.312;2139.6559;-106.6493;16.6295;8.8672;3.7786;-18.5297;99.93%;14.97%;8.27%;99.53%;99.86%;99.671;99.99%;101;99.96%;99.30%;99.20%
574;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 02;2;PUN0029B4G02;330029;PUN0029B4G;LTE FDD;55105.5678;13.627;5.8929;5.7079;38.45%;5.88%;4258.3276;2538.9528;9.6269;18.87%;34.9538;-115.4375;68.395;660.0852;-103.7047;4.8387;16.5021;0.8138;-18.4355;99.91%;14.19%;7.53%;99.87%;99.99%;99.8787;100.00%;3;100.00%;99.32%;99.91%
2842;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 02;2;PUN0029B4G02;330029;PUN0029B4G;LTE FDD;59443.7281;15.3256;6.5355;6.3664;40.67%;7.10%;3959.3632;2910.4613;9.48;18.33%;31.8712;-114.8693;69.188;625.6377;-102.4292;5.0043;16.2188;0.6982;-18.3736;99.74%;14.24%;7.63%;99.83%;99.99%;99.8415;100.00%;4;100.00%;99.72%;99.65%
5115;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 02;2;PUN0029B4G02;330029;PUN0029B4G;LTE FDD;49305.1786;12.169;4.6059;4.559;34.80%;5.54%;4270.6506;2469.611;9.5779;17.72%;32.8996;-116.0581;69.268;649.6497;-103.7058;5.4256;16.3404;1.3941;-18.3265;99.91%;14.11%;8.18%;99.91%;100.00%;99.9143;100.00%;7;100.00%;99.58%;99.43%
7388;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3012;RNC2012(3012);2617;PUN0029_SECTOR 02;2;PUN0029B4G02;330029;PUN0029B4G;LTE FDD;48003.7453;11.7961;4.56;4.4361;35.13%;4.97%;3985.4796;2528.2158;9.4936;19.16%;31.7174;-116.1501;68.247;644.1479;-103.6128;5.288;16.2796;1.0047;-18.3569;99.62%;14.27%;7.62%;99.83%;100.00%;99.8262;100.00%;3;100.00%;99.55%;99.62%
